TamañoGrafo,Densidad,MediaGreedy1,PromTiempoGreedy1,MediaGreedyRand1,PromTiempoGreedyRand1,MediaGreedy2,PromTiempoGreedy2,MediaGreedy3,PromTiempoGreedy3
1000;0.1;58.13;0.02;55.53;0.02;32.17;0.02;39.37;0.01
1000;0.2;31.73;0.03;30.00;0.03;17.77;0.03;22.37;0.02
1000;0.3;21.37;0.06;19.40;0.06;12.57;0.06;15.50;0.03
1000;0.4;16.10;0.07;14.57;0.08;9.57;0.07;11.60;0.05
1000;0.5;12.43;0.10;11.47;0.10;7.47;0.09;9.27;0.06
1000;0.6;9.70;0.10;8.87;0.10;5.97;0.10;6.93;0.07
1000;0.7;7.80;0.12;7.00;0.12;4.70;0.12;5.73;0.08
1000;0.8;6.07;0.13;5.43;0.13;3.70;0.14;4.40;0.08
1000;0.9;4.60;0.15;4.13;0.15;3.03;0.14;3.27;0.09
2000;0.1;66.40;0.08;62.00;0.07;37.10;0.07;46.97;0.04
2000;0.2;35.63;0.17;32.03;0.15;21.13;0.14;25.50;0.09
