TamañoGrafo;Densidad;MediaILS;DesviaciónEstandarILS;TiempoMedioILS
1000;0.1;60.33;1.47;0.06
1000;0.2;32.43;0.99;0.07
1000;0.3;22.37;0.91;0.15
1000;0.4;16.83;0.69;0.90
1000;0.5;13.10;0.30;0.88
1000;0.6;10.60;0.49;1.03
1000;0.7;8.63;0.48;1.93
1000;0.8;7.03;0.18;1.65
1000;0.9;5.20;0.40;1.05
2000;0.1;68.27;1.65;0.22
2000;0.2;36.63;1.11;0.40
2000;0.3;24.53;0.85;1.19
2000;0.4;18.47;0.56;1.55
2000;0.5;14.43;0.56;2.00
2000;0.6;11.27;0.44;1.36
2000;0.7;9.10;0.30;2.55
2000;0.8;7.07;0.25;1.61
2000;0.9;5.33;0.47;2.17
3000;0.1;73.27;1.93;0.53
3000;0.2;38.27;1.18;1.28
3000;0.3;25.87;0.81;2.43
3000;0.4;19.13;0.62;3.27
3000;0.5;14.80;0.48;3.65
3000;0.6;11.77;0.62;3.34
3000;0.7;9.17;0.37;2.72
3000;0.8;7.30;0.46;2.30
3000;0.9;5.50;0.50;3.83
