TamañoGrafo;Densidad;MediaBRKGA;DesviaciónEstandarBRKGA;TiempoMedioBRKGA
1000;0.1;53.67;1.01;3.55
1000;0.2;30.50;0.56;3.37
1000;0.3;21.40;0.49;2.49
1000;0.4;16.30;0.46;3.19
1000;0.5;13.13;0.34;2.99
1000;0.6;10.57;0.50;2.70
1000;0.7;8.70;0.46;2.78
1000;0.8;7.00;0.00;1.00
1000;0.9;5.30;0.46;1.67
2000;0.1;59.23;0.62;4.10
2000;0.2;33.00;0.58;3.11
2000;0.3;23.07;0.68;4.27
2000;0.4;17.37;0.55;2.67
2000;0.5;13.87;0.43;3.56
2000;0.6;11.03;0.31;2.37
2000;0.7;9.00;0.00;1.85
2000;0.8;7.10;0.30;1.84
2000;0.9;5.47;0.50;2.69
3000;0.1;62.83;0.93;4.13
3000;0.2;34.67;0.70;4.50
3000;0.3;23.73;0.63;3.85
3000;0.4;17.90;0.30;3.80
3000;0.5;13.97;0.18;3.47
3000;0.6;11.23;0.42;2.85
3000;0.7;9.20;0.40;2.99
3000;0.8;7.17;0.37;2.35
3000;0.9;5.53;0.50;5.48
