TamanoGrafo;Densidad;MediaGreedy1;MediaILS;DesviacionEstandarILS;TiempoMedioILS;MediaBRKGA;DesviacionEstandarBRKGA;TiempoMedioBRKGA;MediaMMAS;DesviacionEstandarMMAS;TiempoMedioMMAS
1000;0.1;58.13;60.33;1.47;0.06;49.60;5.31;29.35;61.03;1.25;3.83
1000;0.2;31.73;32.43;0.99;0.07;28.07;3.03;22.23;34.07;0.85;3.34
1000;0.3;21.37;22.37;0.91;0.15;20.00;2.16;20.49;23.37;0.48;2.67
1000;0.4;16.10;16.83;0.69;0.90;15.47;1.67;17.03;17.83;0.58;2.62
1000;0.5;12.43;13.10;0.30;0.88;12.23;1.37;12.77;13.93;0.25;2.25
1000;0.6;9.70;10.60;0.49;1.03;9.93;1.06;10.82;11.23;0.42;1.05
1000;0.7;7.80;8.63;0.48;1.93;8.10;0.85;6.27;9.20;0.40;1.27
1000;0.8;6.07;7.03;0.18;1.65;6.40;0.74;3.44;7.43;0.50;1.31
1000;0.9;4.60;5.20;0.40;1.05;5.03;0.71;9.29;5.77;0.42;0.50
2000;0.1;66.40;68.27;1.65;0.22;54.33;5.77;18.37;67.20;1.35;5.33
2000;0.2;35.63;36.63;1.11;0.40;30.67;3.31;20.61;36.50;0.89;3.36
2000;0.3;23.57;24.53;0.85;1.19;21.37;2.30;19.26;25.13;0.43;2.75
2000;0.4;17.47;18.47;0.56;1.55;16.30;1.74;16.80;19.10;0.40;2.84
2000;0.5;13.47;14.43;0.56;2.00;12.70;1.37;8.85;14.93;0.25;2.69
2000;0.6;10.47;11.27;0.44;1.36;10.27;1.18;15.32;12.07;0.25;1.79
2000;0.7;8.30;9.10;0.30;2.55;8.27;0.95;8.83;9.90;0.30;2.55
2000;0.8;6.40;7.07;0.25;1.61;6.77;0.86;13.00;8.00;0.00;1.23
2000;0.9;5.07;5.33;0.47;2.17;5.33;0.61;12.28;6.00;0.00;0.31
3000;0.1;70.70;73.27;1.93;0.53;57.47;6.08;16.43;69.67;0.91;4.57
3000;0.2;37.63;38.27;1.18;1.28;31.73;3.37;12.83;37.83;0.58;2.79
3000;0.3;25.03;25.87;0.81;2.43;22.23;2.42;19.18;26.10;0.40;3.40
3000;0.4;18.27;19.13;0.62;3.27;16.73;1.84;14.14;19.67;0.47;3.65
3000;0.5;14.07;14.80;0.48;3.65;13.20;1.48;16.54;15.40;0.49;2.25
3000;0.6;11.20;11.77;0.62;3.34;10.63;1.18;20.82;12.30;0.46;1.80
3000;0.7;8.87;9.17;0.37;2.72;8.40;0.99;11.25;10.10;0.30;1.85
3000;0.8;6.70;7.30;0.46;2.30;7.03;0.83;23.07;8.07;0.25;1.40
3000;0.9;5.07;5.50;0.50;3.83;5.40;0.57;10.56;6.03;0.18;0.67
