TamanoGrafo;Densidad;MediaACO;DesviacionEstandarACO;TiempoMedioACO
1000;0.1;61.03;1.25;3.83
1000;0.2;34.07;0.85;3.34
1000;0.3;23.37;0.48;2.67
1000;0.4;17.83;0.58;2.62
1000;0.5;13.93;0.25;2.25
1000;0.6;11.23;0.42;1.05
1000;0.7;9.20;0.40;1.27
1000;0.8;7.43;0.50;1.31
1000;0.9;5.77;0.42;0.50
2000;0.1;67.20;1.35;5.33
2000;0.2;36.50;0.89;3.36
2000;0.3;25.13;0.43;2.75
2000;0.4;19.10;0.40;2.84
2000;0.5;14.93;0.25;2.69
2000;0.6;12.07;0.25;1.79
2000;0.7;9.90;0.30;2.55
2000;0.8;8.00;0.00;1.23
2000;0.9;6.00;0.00;0.31
3000;0.1;69.67;0.91;4.57
3000;0.2;37.83;0.58;2.79
3000;0.3;26.10;0.40;3.40
3000;0.4;19.67;0.47;3.65
3000;0.5;15.40;0.49;2.25
3000;0.6;12.30;0.46;1.80
3000;0.7;10.10;0.30;1.85
3000;0.8;8.07;0.25;1.40
3000;0.9;6.03;0.18;0.67
